"Item Code","Colour Code","Item Description","Enriched Description",high_res_1,high_res_2,high_res_3,high_res_4,high_res_5,high_res_6,high_res_7,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12,image_13,image_14,image_15,image_16
W8011434A,71D,"Halter Neck Midi Dress","Get that bohemian flair with our Halter Neck Midi Dress. An ideal way to channel your carefree nature into your look, this dress is perfect for layering up at the beach or brunch out. With its flowing silhouette, you're sure to feel confident and relaxed on those sunny days. Loose Fit – where comfort meets cool, a stylish loose cut makes this a must-have shape, Lace inserts, Tie up halter neck with tassels, Sleeveless, Metal Superdry tab.",https://lookbook.superdrywholesale.com/HighRes/w8011434a_71d_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w8011434a_71d_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w8011434a_71d_D3.tif,https://lookbook.superdrywholesale.com/HighRes/w8011434a_71d_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w8011434a_71d_M.tif,,,https://image1.superdry.com/static/images/products/upload9223368955666222453.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222452.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222449.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222446.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222448.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222450.jpg,,,,,,,,,,
W8011432A,71D,"Halter Neck Playsuit","Our Halter Neck Playsuit has been beautifully crafted to bring you a bohemian edge to your look. The lace detailing adds a touch of delicacy that elevates the playsuit in a subtle way, whilst the drawstring waist accentuates the silhouette to tie it all together. Whether you're layering up at the beach or going out for brunch, this playsuit is an effortless choice. Slim fit – designed to fit closer to the body for a more tailored look, Lace trims and inserts, Halter neck, Sleeveless, Elasticated drawstring waist, Two waist pockets, Tie up back, Open back, Metal Superdry badge.",https://lookbook.superdrywholesale.com/HighRes/w8011432a_71d_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w8011432a_71d_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w8011432a_71d_D3.tif,https://lookbook.superdrywholesale.com/HighRes/w8011432a_71d_D4.tif,https://lookbook.superdrywholesale.com/HighRes/w8011432a_71d_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w8011432a_71d_M.tif,,https://image1.superdry.com/static/images/products/upload9223368955666222445.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222444.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222440.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222439.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222437.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222441.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222442.jpg,,,,,,,,,
M1011702A,QB2,"Vintage Logo Real Original Overdyed T-Shirt","Featuring the classic Superdry logo that made a name for itself years ago, our Vintage Logo Real Original Overdyed t-shirt brings back those timeless, old-school vibes. Finished with heathered look fabric and a relaxed cut, this piece establishes itself as a classic that can never go out of style, delivering comfort and subtle style instantly. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Crew neck, Short sleeves, Cracked Superdry branding, Superdry tab.",https://lookbook.superdrywholesale.com/HighRes/m1011702a_qb2_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m1011702a_qb2_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m1011702a_qb2_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m1011702a_qb2_M.tif,,,,https://image1.superdry.com/static/images/products/upload9223368955666205135.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666205134.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666205131.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666205129.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666205132.jpg,https://image1.superdry.com/static/images/products/M1011702A_QB2_D9.jpg,,,,,,,,,,
M1011697A,01C,"Vintage Logo Store Classic T-Shirt","Go back to the tried and true iconic Superdry roots with our Vintage Logo Store Classic t-shirt. Featuring a timeless old-school Superdry logo and the classic relaxed silhouette that we all know and love, this piece is a staple for lovers of laid-back, authentically iconic Superdry pieces. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Crew neck, Short sleeves, Superdry logo, Superdry tab on arm.",https://lookbook.superdrywholesale.com/HighRes/m1011697a_01c_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m1011697a_01c_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m1011697a_01c_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m1011697a_01c_M.tif,,,,https://image1.superdry.com/static/images/products/upload9223368955666209791.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666209790.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666209787.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666209785.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666209788.jpg,https://image1.superdry.com/static/images/products/M1011697A_01C_D9.jpg,,,,,,,,,,
M1011697A,VQH,"Vintage Logo Store Classic T-Shirt","Go back to the tried and true iconic Superdry roots with our Vintage Logo Store Classic t-shirt. Featuring a timeless old-school Superdry logo and the classic relaxed silhouette that we all know and love, this piece is a staple for lovers of laid-back, authentically iconic Superdry pieces. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Crew neck, Short sleeves, Superdry logo, Superdry tab on arm.",https://lookbook.superdrywholesale.com/HighRes/m1011697a_vqh_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m1011697a_vqh_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m1011697a_vqh_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m1011697a_vqh_M.tif,,,,https://image1.superdry.com/static/images/products/upload9223368955666215820.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215819.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215814.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215816.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666215817.jpg,https://image1.superdry.com/static/images/products/M1011697A_VQH_D9.jpg,,,,,,,,,,
W1011246A,8ML,"Embellished Vintage Logo T-Shirt","Brighten up your look with a touch of sparkle. Channelling a classic branded spirit, the Embellished T-shirt features the Superdry logo in a vintage style. It's a comfortable casualwear staple that brings a pop of glitter to your everyday look, ensuring that you can stay true to your authentic sense of style. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Ribbed crew neck collar, Printed Superdry graphic, Signature Superdry tab on left sleeve.",https://lookbook.superdrywholesale.com/HighRes/w1011246a_8ml_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w1011246a_8ml_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w1011246a_8ml_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w1011246a_8ml_M.tif,,,,https://image1.superdry.com/static/images/products/upload9223368955666217340.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217339.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217334.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217336.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217337.jpg,https://image1.superdry.com/static/images/products/W1011246A_8ML_D9.jpg,,,,,,,,,,
W1011246A,98T,"Embellished Vintage Logo T-Shirt","Brighten up your look with a touch of sparkle. Channelling a classic branded spirit, the Embellished T-shirt features the Superdry logo in a vintage style. It's a comfortable casualwear staple that brings a pop of glitter to your everyday look, ensuring that you can stay true to your authentic sense of style. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Ribbed crew neck collar, Printed Superdry graphic, Signature Superdry tab on left sleeve.",https://lookbook.superdrywholesale.com/HighRes/w1011246a_98t_D1.tif,https://lookbook.superdrywholesale.com/HighRes/w1011246a_98t_D2.tif,https://lookbook.superdrywholesale.com/HighRes/w1011246a_98t_DO.tif,https://lookbook.superdrywholesale.com/HighRes/w1011246a_98t_M.tif,,,,https://image1.superdry.com/static/images/products/upload9223368955666217732.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217731.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217726.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217728.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666217729.jpg,,,,,,,,,,,
M7110392A,98T,"Code Sportswear Loose Short","Description yet to be provided",https://lookbook.superdrywholesale.com/HighRes/m7110392a_98t_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_98t_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_98t_D3.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_98t_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_98t_M.tif,,,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131923.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131876.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131927.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666132094.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131924.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666132589.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666133987.jpg,,,,,,,,,
M7110392A,JAR,"Code Sportswear Loose Short","Description yet to be provided",https://lookbook.superdrywholesale.com/HighRes/m7110392a_jar_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_jar_D2.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_jar_D3.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_jar_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m7110392a_jar_M.tif,,,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131183.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131834.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666132152.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666132374.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666132151.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131122.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131779.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131145.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131800.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131143.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666132008.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131141.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131799.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131140.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666132006.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666133986.jpg
M1110349A,9VW,"Superstate Polo Shirt","When it comes to the American-styled vintage range, there are few inspirations as classic as the country's love of sport. From football to baseball, an athletic aesthetic has been baked into the spirit of Americana for decades, and this polo shirt embodies that nostalgic culture. Wear this piece with jeans for a classic casual look. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Pique fabric, Two-button fastening, Collar taping, Reinforced and split side seams, Embroidered athletics-style graphics.",,,,,,,,https://image1.superdry.com/static/images/products/zoom/upload9223368955666241169.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666245227.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666245226.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131193.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131827.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666131792.jpg,,,,,,,,,,
M1110349A,9XE,"Superstate Polo Shirt","When it comes to the American-styled vintage range, there are few inspirations as classic as the country's love of sport. From football to baseball, an athletic aesthetic has been baked into the spirit of Americana for decades, and this polo shirt embodies that nostalgic culture. Wear this piece with jeans for a classic casual look. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Pique fabric, Two-button fastening, Collar taping, Reinforced and split side seams, Embroidered athletics-style graphics.",https://lookbook.superdrywholesale.com/HighRes/m1110349a_9xe_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_9xe_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_9xe_M.tif,,,,,https://image1.superdry.com/static/images/products/upload9223368955666226216.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666226215.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666226211.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666226213.jpg,,,,,,,,,,,,
M1110349A,LO3,"Superstate Polo Shirt","When it comes to the American-styled vintage range, there are few inspirations as classic as the country's love of sport. From football to baseball, an athletic aesthetic has been baked into the spirit of Americana for decades, and this polo shirt embodies that nostalgic culture. Wear this piece with jeans for a classic casual look. Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size, Pique fabric, Two-button fastening, Collar taping, Reinforced and split side seams, Embroidered athletics-style graphics.",https://lookbook.superdrywholesale.com/HighRes/m1110349a_lo3_D1.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_lo3_D6.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_lo3_D7.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_lo3_D8.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_lo3_D9.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_lo3_DO.tif,https://lookbook.superdrywholesale.com/HighRes/m1110349a_lo3_M.tif,https://image1.superdry.com/static/images/products/upload9223368955666226187.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666226186.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666226182.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666226184.jpg,https://image1.superdry.com/static/images/products/m1110349a_lo3_D9.jpg,,,,,,,,,,,
